video_id,comment_text,comment_likes,ip_location
7586008746334326025,看到这个的时候我就已经释怀的笑了,3329,安徽
7586008746334326025,两个人都没女人要在一起了呗[黑脸],1511,江苏
7596613935990862331,我的性取向在天上失禁的看着我[憨笑],21281,四川
7596613935990862331,所有方圆脸立马退到我身后！,3587,浙江
7596613935990862331,评论区不要叫太过分 家妻会吃醋,1681,四川
7596613935990862331,洗衣粉儿长这么勾人干什么！！！,249,四川
7596613935990862331,我真的觉得她好帅。。。。真的很有感觉。求解，这怎么回复我紧张死了[流泪],236,吉林
7607159871499567473,告诉她：谢谢你用尽千方百计来讽刺我，不过你说什么我不太在乎，我有我的幸福生活，你的情绪很重要，别浪费在我身上，祝你以后别这么不顺心了,3565,山东
7607159871499567473,凌晨两点 八成是对方放不下 看你谈了新的抓耳挠肝在嫉妒,831,安徽
7607159871499567473,你一个开门的npc，管上朕了？,254,甘肃
7607159871499567473,[九转大肠]想到之前一个肥t就喜欢掰弯直女,109,福建
7607159871499567473,把她手机号留给房产中介，贷款公司，不孕不育治疗机构，考研考公报名平台，还有很多地方，你自己看着办[黄脸干杯],61,新疆
7603633856919841714,抓到法死,6944,四川
7603633856919841714,哪个火锅店啊[流泪],1640,广东
7603633856919841714,下次不喊服务员了喊姐姐你会来吗[求抱抱][求抱抱][求抱抱],119,山东
7603633856919841714,在哪里今晚就去吃,103,四川
7603633856919841714,这个墙..料满堂吗[不是吧],59,四川
